Soru_MetniOCR,Alt_Konu,Zorluk,Gorsel_Tipi,Kaynak_Tipi,sample_weight
18 sayısını bölen pozitif tam sayıların toplamı kaçtır?,carpanlar,1,yok,baslangic,0.3
Aşağıdakilerden hangisi 96 sayısının çarpanlarından biri değildir?,carpanlar,1,yok,baslangic,0.3
Aşağıdakilerden hangisi bu dikdörtgensel bölgenin kenar uzunluklarından biri olamaz?,carpanlar,2,yok,baslangic,0.3
Bu dikdörtgenlerden çevresi en küçük olanın çevresi kaç cm dir?,carpanlar,3,yok,baslangic,0.3
Misafirlerin sayısı 6'dan fazla olduğuna göre içilen çay sayısı aşağıdakilerden hangisi olamaz?,carpanlar,2,yok,baslangic,0.3
İki basamaklı en büyük asal sayı ile iki basamaklı en küçük asal sayı arasındaki fark kaçtır?,carpanlar,2,yok,baslangic,0.3
Aşağıdaki sayılardan hangisinin asal çarpan sayısı diğerlerinden fazladır?,carpanlar,2,yok,baslangic,0.3
Aşağıdakilerden hangisi yanlıştır?,carpanlar,1,yok,baslangic,0.3
216 sayısının asal çarpanlarına ayrılmış biçimi aşağıdakilerden hangisidir?,carpanlar,1,yok,baslangic,0.3
360 sayısının asal çarpanlarının çarpımı şeklinde yazılışı aşağıdakilerden hangisidir?,carpanlar,1,yok,baslangic,0.3
42 sayısının asal çarpanlarının toplamı kaçtır?,carpanlar,1,yok,baslangic,0.3
120 sayısının farklı asal çarpanlarının toplamı kaçtır?,carpanlar,1,yok,baslangic,0.3
Aşağıdakilerden hangisi 90 sayısının asal çarpanlarından biri değildir?,carpanlar,1,yok,baslangic,0.3
Aşağıdakilerden hangisi 910 sayısının çarpanlarından biri değildir?,carpanlar,2,yok,baslangic,0.3
"Aşağıdaki sayılardan hangisinin asal çarpanları 2,3 ve 5'tir?",carpanlar,1,yok,baslangic,0.3
1500 = 2^a . 3^b . 5^c olduğuna göre a + b + c kaçtır?,carpanlar,2,yok,baslangic,0.3
Buna göre A + D kaçtır?,carpanlar,2,yok,baslangic,0.3
x-y-z ifadesinin değeri kaç olur?,carpanlar,3,yok,baslangic,0.3
"180 sayısının a,b,c cinsinden ifadesi aşağıdakilerden hangisidir?",carpanlar,2,yok,baslangic,0.3
Buna göre Altuğ'un aklından tuttuğu sayı aşağıdakilerden hangisi olabilir?,carpanlar,2,yok,baslangic,0.3
Buna göre aşağıdakilerden hangisi doğrudur?,carpanlar,3,yok,baslangic,0.3
Yukarıdaki eşitliklerden hangisi ya da hangileri yanlıştır?,carpanlar,1,yok,baslangic,0.3
olduğuna göre A+B kaçtır?,carpanlar,2,yok,baslangic,0.3
"Asal çarpanları 3,5,11 olan dört basamaklı en küçük doğal sayı kaçtır?",carpanlar,3,yok,baslangic,0.3
K'nin alabileceği en küçük değer aşağıdakilerden hangisidir?,carpanlar,3,yok,baslangic,0.3
A = x^3 . y^1 . z^2 şeklinde yazılabilen en küçük A doğal sayısı kaçtır?,carpanlar,3,yok,baslangic,0.3
Buna göre A sayısı aşağıdakilerden hangisi olamaz?,carpanlar,2,yok,baslangic,0.3
Buna göre işleminin sonucu kaçtır?,carpanlar,3,yok,baslangic,0.3
"Buna göre, bu halkalar verilen kurala göre çubuklara takıldığında aşağıdaki halkalardan hangisi dışta kalır?",carpanlar,3,resimli,baslangic,0.3
"Buna göre, bu kutudaki toplam şeker sayısı kaçtır?",carpanlar,3,resimli,baslangic,0.3
B bölgesinin alanının santimetrekare cinsinden değeri aşağıdakilerden hangisi olamaz?,carpanlar,4,geometrik_sekil,ornek,0.8
Verilenlere göre bu dikdörtgenlerden birinin çevresinin uzunluğu kaç santimetredir?,carpanlar,4,geometrik_sekil,ornek,0.8
"Buna göre Ahmet'in 14 sayısını söylediği oyunda, Deniz aşağıdaki sayılardan hangisini söylerse oyunu kazanır?",carpanlar,3,resimli,ornek,0.8
Buna göre bu kartonun çevresinin uzunluğu en fazla kaç santimetredir?,carpanlar,4,geometrik_sekil,ornek,0.8
"Bu kartona yerleştirilen beyaz kart sayısı 3 olduğuna göre, en fazla kaç adet asal çarpan kartı yerleştirilmiştir?",carpanlar,5,resimli,ornek,0.8
"1'den 7'ye kadar olan sayıların yerleştirildiği çarpım tablosu bulmacasında, eksik olan a ve b değerlerinin toplamının bulunması istenmektedir.",carpanlar,3,sematik,ornek,0.8
"Üzerinde sayılar yazan kartların, asal çarpan sayılarına (1, 2 veya 3 tane) göre kutulara eşit sayıda dağıtılması kuralına dayanarak, ters çevrilmiş karttaki sayının bulunması istenmektedir.",carpanlar,3,sematik,ornek,0.8
"Asansörlerin kendi numaralarının katı olan katlarda durmadığı bir iş yerinde, duran asansör sayısı karşılaştırmasına göre Onur'un kat numarasının bulunması.",carpanlar,4,sematik,ornek,0.8
"Eylül ayı takviminde, günün tarihinin asal çarpan sayısı kadar ders yapan bir öğretmenin ay boyunca yaptığı toplam ders sayısı sorulmaktadır.",carpanlar,3,sematik,ornek,0.8
"Ürün kodları çarpılarak etiket numarası, birim fiyatları toplanarak satış fiyatı bulunan paketlerde; etiket numarası 270 ve 300 olan iki paketin toplam fiyatı sorulmaktadır.",carpanlar,4,resimli,ornek,0.8
48 ve 72 sayılarının en büyük ortak böleninin (EBOB) hesaplanması istenmektedir.,ebob_ekok,1,yok,baslangic,0.3
"Bir üçgen şemasında a, b ve c harflerinin, bağlı oldukları sayı çiftlerinin EBOB'una eşit olduğu kurala göre a+b+c toplamı sorulmaktadır.",ebob_ekok,2,sematik,baslangic,0.3
"EBOB(24, A) = 12 eşitliğini sağlayan en küçük üç basamaklı A sayısının bulunması istenmektedir.",ebob_ekok,2,yok,baslangic,0.3
54 kg şeker ve 96 kg nohutun birbirine karıştırılmadan ve hiç artmayacak şekilde eşit torbalara paylaştırılması için gereken en az torba sayısı sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3
"Kenarları 192 m ve 248 m olan dikdörtgen tarlanın etrafına, köşelere de gelmek şartıyla eşit aralıklarla dikilecek en az fidan sayısı sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3
216 cm ve 315 cm boyutlarındaki banyo zeminini kaplayacak eş kare fayansların bir kenar uzunluğunun en fazla kaç cm olabileceği sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3
"120 ve 165 cm'lik iki tahta parçasının eş uzunlukta parçalara ayrılması işleminde, her kesim 15 saniye sürdüğüne göre işin toplam süresi sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3
540 cm ve 780 cm kenar uzunluğuna sahip dikdörtgen salonun zeminine hiç boşluk kalmayacak şekilde döşenecek en az eş kare mermer sayısı sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3
45 cm ve 72 cm kenar uzunluklarına sahip dikdörtgen yapbozu oluşturan eş kare parçaların sayısının en az kaç olduğu sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3
"İki yüzünün alanı 12 cm² ve 18 cm² olan dikdörtgenler prizmasının, tam sayı olan ayrıtlarına göre üretilebilecek en fazla farklı hacim sayısı sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3
"Bir pisti 4 ve 6 dakikada turlayan iki aracın, aynı anda başladıktan kaç dakika sonra tekrar başlangıç çizgisinde yan yana gelecekleri sorulmaktadır.",ebob_ekok,1,yok,baslangic,0.3
"9 günde ve 12 günde bir nöbet tutan iki hemşirenin, birlikte nöbet tuttuktan en az kaç gün sonra tekrar birlikte nöbet tutacakları sorulmaktadır.",ebob_ekok,1,yok,baslangic,0.3
Asal çarpanlarına ayrılmış hâli verilen A ve B sayılarının en küçük ortak katının (EKOK) hesaplanması.,ebob_ekok,2,yok,baslangic,0.3
"B sayısı A ile 36'nın EBOB'una, 2 ile 4'ün ise EKOK'una eşit olduğuna göre; verilen seçeneklerden hangisinin A sayısı olamayacağının bulunması.",ebob_ekok,3,yok,baslangic,0.3
Üslü ifade biçiminde verilmiş A ve B sayılarının EKOK değerinin EBOB değerine oranının bulunması.,ebob_ekok,3,yok,baslangic,0.3
Birbirine oranı 2/3 olan ve EKOK'ları 48 olan iki doğal sayının EBOB'unun bulunması.,ebob_ekok,2,yok,baslangic,0.3
EKOK'ları 120 olan iki doğal sayının toplamının alabileceği en küçük değerin bulunması.,ebob_ekok,3,yok,baslangic,0.3
"14 ile x sayısının EKOK'u 126 olduğuna göre, x'in alabileceği farklı değerlerin toplamının bulunması.",ebob_ekok,3,yok,baslangic,0.3
1'den 100'e kadar olan sayılar arasında 12 ve 16'nın ortak katı olan kaç adet sayı olduğunun bulunması.,ebob_ekok,2,yok,baslangic,0.3
"6 ve 7 günde bir temizlenen iki aracın, aynı gün temizlendikten sonraki 120 gün içinde kaç kez daha aynı gün temizlenecekleri sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3
"36 ve 45 dakika arayla çalan iki zilin, 07.30'da birlikte çaldıktan sonra ilk kez saat kaçta tekrar birlikte çalacakları sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3
"30 ve 36 dakika arayla çalan iki alarmın, 14.00'te birlikte çaldıktan sonra ikinci kez saat kaçta birlikte çalacakları sorulmaktadır.",ebob_ekok,2,yok,baslangic,0.3
"Eş karesel zemine sahip iki banyodan biri 18 cm, diğeri 16 cm'lik kare fayanslarla kaplandığında kullanılan toplam fayans sayısının en az kaç olacağı sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3
Kenar uzunlukları 12 cm ve 16 cm olan dikdörtgen parçaların en az kaç tanesi yan yana getirilerek bir kare oluşturulabileceği sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3
"Üslü ifadelerle tanımlanmış A ve B sayılarının EKOK değeri verildiğinde, üslerdeki bilinmeyenlerin (x ve y) toplamının hangisi olamayacağı sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3
"23⋅3a şeklinde verilen bir sayı ile 60 sayısının EKOK'u 360 olduğuna göre, a değerinin bulunması istenmektedir.",ebob_ekok,2,yok,baslangic,0.3
12 ve 18 sayılarına bölündüğünde 5 kalanını veren en küçük üç basamaklı doğal sayının bulunması.,ebob_ekok,2,yok,baslangic,0.3
12 ve 16 sayılarına bölündüğünde 7 kalanını veren en küçük üç basamaklı doğal sayının birler basamağındaki rakam sorulmaktadır.,ebob_ekok,3,yok,baslangic,0.3
Üçer ve dörder inildiğinde her seferinde 1 basamak artan bir merdivenin basamak sayısının en az kaç olduğu sorulmaktadır.,ebob_ekok,2,yok,baslangic,0.3
"Dörder ve altışar sayıldığında 3 bilye artan bir kutudaki bilye sayısının 400'den fazla olduğu bilindiğine göre, en az kaç bilye olduğu sorulmaktadır.",ebob_ekok,3,yok,baslangic,0.3
700 cm'den fazla uzunluktaki 30 cm ve 36 cm'lik demir çubuklarla tabure yapma.,ebob_ekok,3,sematik,baslangic,0.3
"Ayşe, Mehmet ve Kemal'in ceviz sayılarının oranları ve en az ceviz durumunda yanlış ifadeyi bulma.",ebob_ekok,2,yok,baslangic,0.3
"İki eşit şeridin boyanma kuralları verilmiş, ilk kez aynı hizada boyandığı yerdeki yanlış ifadeyi bulma.",ebob_ekok,3,sematik,baslangic,0.3
"Zeytinyağının yarısı 250 ml, diğer yarısı 400 ml şişelere; 8000 TL'den fazla gelir elde etme.",ebob_ekok,4,resimli,baslangic,0.3
İki kutudaki boncukların 150'den az ve eşit olma; kapak kapatıldığında artan boncuk sayıları (kalanlı EKOK).,ebob_ekok,4,sematik,baslangic,0.3
"İki doğal sayıdan biri diğerinin 3 katı, EKOK'u 54 ise EBOB'u kaçtır?",ebob_ekok,2,yok,baslangic,0.3
"a · 18 = EKOK(a, 18) ise bu eşitliği sağlayan 18'den küçük kaç tane a doğal sayısı vardır?",ebob_ekok,3,yok,baslangic,0.3
45 ile 75 sayılarının EBOB'u ile EKOK'unun çarpımı kaçtır?,ebob_ekok,1,yok,baslangic,0.3
"İki sayının EKOK'u 72, EBOB'u 12. Sayılardan biri 24 ise diğeri kaçtır?",ebob_ekok,2,yok,baslangic,0.3
Sarı (6 cm + 2 cm artmış) ve mavi (10 cm + 2 cm artmış) kartonların uzun kenarının en fazla değeri; parça sayıları farkı 10'dan az.,ebob_ekok,4,sematik,ornek,0.8
275 kırmızı ve 135 yeşil elmanın eşit paketlenmesi; kırmızı elmanın 5'li ve 8'li paketleme sayısının yeşil paket sayısına eşit olması.,ebob_ekok,4,yok,ornek,0.8
"K, L, M, N, P şehirleri arası mesafeler verilmiş, 100 km/sa ve 120 km/sa hızla giden iki otobüsün mola tesisinin hangi iki şehir arasında olduğunu bulma.",ebob_ekok,3,sematik,ornek,0.8
A ve B filmlerinin süreleri ve başlama saatleri verilmiş; aynı anda başladıklarında salona girenlerin en az bekleme süresi.,ebob_ekok,4,sematik,ornek,0.8
"A yönünden 6, B yönünden 8 dakikada bir metro gelmekte. 8.40'ta aynı anda gelmişler. Beren istasyona geldiğinde, 5 dakika beklemesi kalmış; saati bulma.",ebob_ekok,4,resimli,ornek,0.8
"Başak ve Pınar'ın ürün alımı; A ürünü 120 TL/kg, B ürünü 70 TL/kg. Toplam kütle 30 kg'dan az, toplam kütleler eşit. Pınar'ın ödediği TL'yi bulma.",ebob_ekok,4,yok,ornek,0.8
150 L bal ve 90 L pekmezin eşit hacimli kaplara paylaşımı; en az sayıda kap kullanımı; kap sayısının 32'den fazla olması.,ebob_ekok,4,yok,ornek,0.8
"22 cm ve 16 cm çubukların 8 cm'lik bağlantı parçalarıyla birleştirilmesi; Gamze ve Melis'in eşit uzunlukta, 1 m'den fazla çubuk elde etmesi.",ebob_ekok,4,sematik,ornek,0.8
"Üç farklı renkte 5'er adet boncuk; her bir renk farklı asal sayıyı temsil etmekte; çubuklara yerleştirilme ve 150, A, B kartlarındaki sayıların çarpımı.",ebob_ekok,3,sematik,ornek,0.8
"48 günlük tiyatro planı; A salonu 2 günde, B salonu 3 günde bir gösteri yapacak. A'da 17 gösteri yapıldığına göre B'de kaç gösteri yapılmıştır?",ebob_ekok,4,yok,ornek,0.8
"160 cm ve 96 cm demir çubuklardan eşit uzunlukta parçalar kesme; sarıdan 4, maviden 4 parçanın birleşmesiyle çerçeve yapımı; aradaki en az fark.",ebob_ekok,4,sematik,ornek,0.8
648 adet yumurtanın 30'dan az ve eşit sayıda kolilere konulması; satılmayan yumurta sayısının 360 olması; en az kaç koli yumurta satılmıştır?,ebob_ekok,4,yok,ornek,0.8
"A (48), B (32), C (60) kurslarındaki öğrencilerin sınıflara 10'dan fazla, 20'den az kişi yerleştirilmesi; sınıfların alt/üst katlarda eşit öğrenci kısıtlamaları.",ebob_ekok,5,sematik,ornek,0.8
"Mavi (M), Kırmızı (K) ve Yeşil (Y) flamaların eşit aralıklarla (ardışık) yerleştirilmesi; başlangıç/bitiş noktaları ve flama renk kısıtlamalarına göre en az mesafeyi bulma.",ebob_ekok,4,sematik,ornek,0.8
4 cm kısa kenarlı iki çitanın kesilerek yeşil ve turuncu kare çerçeveler yapılması; çevresi 56 cm olan kare çerçeve için en az kaç çita kullanılmıştır?,ebob_ekok,4,sematik,ornek,0.8
40 cm ve 70 cm'lik dikdörtgen taşların 30 metreden az düz bir kaldırıma boşluksuz yerleştirilmesi; kare prizma şeklindeki sarı taş sayısının en çok kaç olduğunu bulma.,ebob_ekok,4,sematik,ornek,0.8
"640 kırmızı ve 520 mavi bilyenin eşit sayıda ve aynı renkte kutulanması; satılmayan mavi kutu sayısının, satılmayan kırmızı kutu sayısının 3 katı olması; mavi kutunun fiyatını bulma.",ebob_ekok,5,resimli,ornek,0.8
Diktörtgen biçimindeki iş yerinin alanları verilmiş; tüm bölümlerin kenar uzunlukları doğal sayı. Arşiv ve Mutfak bölümlerinin alanları toplamının en az kaç olduğunu bulma.,ebob_ekok,5,sematik,ornek,0.8
İki kumbarada (150 ve 90 adet 1 TL) kalan para miktarının her gün sonunda EBOB'u olup olmadığını sorgulama; Beren'in her gün birinden diğerinde kalan para kadar harcaması.,ebob_ekok,4,resimli,ornek,0.8
