Soru_MetniOCR,Alt_Konu,Zorluk,Gorsel_Tipi,Kaynak_Tipi,egitim_agirligi,is_LGS,ocr_kelime_sayisi,ocr_karakter_sayisi,ocr_rakam_sayisi,ocr_cok_adimli
İki kumbarada (150 ve 90 adet 1 TL) kalan para miktarının her gün sonunda EBOB'u olup olmadığını sorgulama; Beren'in her gün birinden diğerinde kalan para kadar harcaması.,ebob_ekok,4,resimli,ornek,0.8,1,27,171,6,0
"60 kırmızı, 72 mavi, 42 yeşil kalemin en fazla 15 kalem alan kutulara, eşit sayıda ve tek renkte yerleştirilmesi; satılan en fazla kutu sayısını bulma.",ebob_ekok,4,resimli,ornek,0.8,1,25,151,8,1
"4 traktörün 1 dekar arazi için yakıt miktarı; A, B (50 dekar altı) ve C, D (120 dekar altı) ile eşit miktarda yakıt tüketimi; toplam yakıtın en fazla kaç TL olduğu.",ebob_ekok,4,sematik,ornek,0.8,1,31,164,7,1
Domates ve biberden salça yapma; salçaların karışmayacak ve artmayacak şekilde eşit büyüklükteki kavanozlara doldurulması; en az kaç kavanoz kullanılır?,ebob_ekok,3,yok,ornek,0.8,1,19,152,0,1
"3 koşucunun (Ali, Eren, Mehmet) parkurda koşma süreleri; yarım saat ve bir saat içinde birbirleriyle karşılaşma durumlarını inceleme.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,18,133,1,0
"ki radyoda (A: 12 dk müzik + 4 dk reklam, B: 16 dk müzik + 4 dk reklam) yayınlanan programlar; saat 10.00'da başlayan programdan sonra Banu'nun müziğe denk geldiği saati bulma.",ebob_ekok,3,yok,ornek,0.8,1,31,176,10,0
"4 çeşit şeker (45, 54, 60, 72 adet) ikişerli gruplanarak poşetlenmesi; her poşette 3'ten fazla şeker olması; poşetteki şeker sayısı farkının en fazla kaç olduğunu bulma.",ebob_ekok,4,resimli,ornek,0.8,1,26,169,10,1
40 cm ve 30 cm tekerlek merkezlerinin yerden yüksekliği olan iki bisikletin aynı mesafeyi tekerleklerinin tam tur atarak tamamlaması; en az kaç santimetre mesafe denediği.,ebob_ekok,3,resimli,ornek,0.8,1,25,171,4,1
Sınıf numaralarının (1'den 5'e kadar kat numaraları ve 1-5'ten salona numaraları) tek bir asal çarpanı olması; bu salon numaralarının EKOK'unu bulma.,ebob_ekok,4,resimli,ornek,0.8,1,21,149,4,0
"Dikdörtgen şeklindeki kartonların kenar uzunlukları ve alanları verilmiş, bu kartonların birleştirilmesiyle oluşturulan yeni şeklin alanının en fazla kaç olacağı sorulmaktadır.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,20,176,0,1
"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,23,193,0,1
"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,21,176,0,0
"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,23,193,0,1
"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,21,176,0,0
"İki farklı uzunluktaki veya miktardaki nesnenin (çubuk, kumaş vb.) hiç artmayacak şekilde eşit ve en büyük parçalara ayrılması; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",ebob_ekok,3,sematik,ornek,0.8,1,26,187,0,0
"Farklı zaman aralıklarında gerçekleşen iki olayın (zil çalması, nöbet tutma, araç seferi vb.) aynı anda gerçekleştiği anların veya bu karşılaşmaların sayısının bulunması problemi.",ebob_ekok,3,resimli,ornek,0.8,1,23,179,0,0
"Üç farklı markanın (A, B, C) ürünlerinin veya cihazlarının belirli periyotlarla çalışma/durma süreleri verilmiş; bu cihazların aynı anda çalışmaya/durmaya başladıkları anların veya sürelerin hesaplanması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,25,213,0,0
"Bir toplantı salonuna veya sınıfa, genişlikleri farklı iki tür koltuğun/sıranın, aralarında boşluk kalmayacak ve duvarla bitişik olacak şekilde dizilmesi; salon genişliği veya koltuk sayısı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,25,204,0,0
"Farklı uzunluklara sahip iki veya daha fazla rafın/çubuğun, hiç artmayacak şekilde eşit uzunlukta en büyük parçalara bölünmesi; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",ebob_ekok,3,sematik,ornek,0.8,1,25,187,0,0
"Belirli bir kurala göre nöbet tutan veya sefere çıkan iki kişinin/aracın, başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı anda bu eylemi gerçekleştireceğinin bulunması problemi.",ebob_ekok,3,resimli,ornek,0.8,1,26,186,0,0
"Farklı kütlelere veya hacimlere sahip iki ürünün (çuval, bidon vb.), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki en az sayıda kaba paylaştırılması problemi.",ebob_ekok,3,resimli,ornek,0.8,1,24,182,0,1
"Kenar uzunlukları verilen dikdörtgen şeklindeki kartonların veya fayansların, aralarında boşluk kalmayacak şekilde birleştirilerek en küçük alanlı karenin (veya zeminin) oluşturulması; parça sayısının bulunması.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,23,211,0,0
Farklı uzunluklara veya sürelere sahip iki çubuğun/olayın (örn. reklam panosu aydınlatma süreleri veya iki farklı ürünün uzunlukları) eşlenmesi; en kısa sürede veya en küçük ortak uzunlukta buluşma anının/noktasının hesaplanması.,ebob_ekok,3,sematik,ornek,0.8,1,29,229,0,0
"Kenar uzunlukları verilen dikdörtgen şeklindeki bir bahçenin veya zeminin etrafına/içine, köşelere de gelmek şartıyla eşit aralıklarla direk/ağaç dikilmesi veya fayans döşenmesi; en az malzeme sayısının bulunması problemi.",ebob_ekok,3,geometrik_sekil,ornek,0.8,1,27,222,0,1
"Belirli aralıklarla tekrarlanan iki farklı durumun (sefer saatleri, nöbetleşme veya zil çalması gibi) gün içerisinde kaç kez aynı anda gerçekleştiğinin veya bir sonraki ortak zamanın hesaplanması problemi.",ebob_ekok,3,sematik,ornek,0.8,1,27,205,0,0
"Farklı boyutlara sahip dikdörtgen şeklindeki parçaların veya alanların, aralarında boşluk kalmayacak şekilde birleştirilerek daha büyük bir kare veya dikdörtgen zemin oluşturulması; en az parça sayısının bulunması.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,26,214,0,1
"Belirli aralıklarla tekrarlanan iki farklı işin veya durumun (ilaç alma, sefer saati vb.) başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı ana denk geleceğinin hesaplanması problemi.",ebob_ekok,3,sematik,ornek,0.8,1,27,190,0,0
"Kenar uzunlukları verilen bir alanın veya levhanın, hiç artmayacak şekilde eş kare parçalara ayrılması veya köşelerine de gelmek şartıyla eşit aralıklarla noktalanması/bölünmesi; parça/nokta sayısı sorulmaktadır.",ebob_ekok,4,geometrik_sekil,ornek,0.8,1,25,212,0,0
"Farklı uzunluktaki iki tahta veya metal çubuğun, hiç parça artmayacak şekilde eşit uzunlukta en büyük parçalara ayrılması; oluşan parça sayısı veya her kesim işlemi için ödenen ücret üzerinden toplam maliyet hesabı sorulmaktadır.",ebob_ekok,3,sematik,ornek,0.8,1,32,229,0,0
Belirli bir kurala göre (örneğin 3'ün ve 4'ün pozitif tam sayı katları olan) numaralandırılmış kutuların veya koltukların seçilmesi/boyanması; hem 3'ün hem 4'ün katı olan (ortak kat) numaraların tespit edilmesi problemi.,ebob_ekok,4,sematik,ornek,0.8,1,30,220,4,0
"Verilen bir kurala göre (örneğin iki farklı ürünün raf/kutu dizilimi veya sayısal eşleşmesi) yapılan yerleştirme işleminde, belirli şartları (boşluk kalmama, eşit yükseklik vb.) sağlayan en küçük ortak katın veya değerin bulunması problemi.",ebob_ekok,4,sematik,ornek,0.8,1,32,240,0,0
"Verilen iki farklı sayısal değerin (genellikle çuval ağırlıkları veya tank hacimleri), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki kaplara paylaştırılması; en az kap/paket sayısı sorulmaktadır.",ebob_ekok,3,resimli,ornek,0.8,1,26,219,0,1
"Belirli bir kurala göre periyodik olarak tekrar eden iki farklı eylemin (örneğin iki farklı zilin çalması veya iki aracın sefer yapması), başlangıçtan sonraki ortak gerçekleşme zamanının (EKOK) hesaplanması problemi.",ebob_ekok,3,sematik,ornek,0.8,1,29,216,0,0
"Verilen bir alana veya rafa, boyutları farklı iki veya daha fazla nesnenin (kutu, kitap, fayans vb.) belirli bir kurala göre (örneğin aralarında boşluk kalmadan veya belirli periyotlarla) yerleştirilmesi; alanın uzunluğunun veya kullanılan nesne sayısının hesaplanması problemi.",ebob_ekok,4,resimli,ornek,0.8,1,36,278,0,0
Verilen iki doğal sayının en büyük ortak böleninin (EBOB) veya en küçük ortak katının (EKOK) bulunması ve bu değerlerle yapılan temel dört işlem sorusu.,aralarinda_asal,1,yok,baslangic,0.3,0,24,152,0,0
"İki farklı sayısal değerin (kütle, uzunluk vb.) ebob'u kullanılarak, artmadan eş parçalara ayrılması durumunda oluşacak parça sayısının bulunması (Temel problem).",aralarinda_asal,2,yok,baslangic,0.3,0,20,162,0,0
Belirli aralıklarla (dakika/saat) gerçekleşen iki basit olayın (zil çalması vb.) ilk kez veya ikinci kez ne zaman aynı anda gerçekleşeceğinin hesaplanması.,aralarinda_asal,2,sematik,baslangic,0.3,0,21,155,0,0
"Kenar uzunlukları verilen dikdörtgen şeklindeki bir zeminin içine, hiç boşluk kalmayacak şekilde yerleştirilebilecek en büyük boyutlu eş karelerin sayısının bulunması.",aralarinda_asal,2,geometrik_sekil,baslangic,0.3,0,20,167,0,0
Aralarında asallık veya çarpan özellikleri verilen iki sayının EBOB ve EKOK değerleri arasındaki ilişkinin sorgulandığı kural/kavram sorusu.,aralarinda_asal,1,yok,baslangic,0.3,0,17,140,0,0
Verilen sayıların asal çarpanlarına ayrılmış hali üzerinden EBOB veya EKOK değerlerinin üslü ifadeler yardımıyla hesaplanması sorusu.,aralarinda_asal,1,sematik,baslangic,0.3,0,16,133,0,0
"İki farklı ürünün (ceviz, bilye vb.) sayıları verilerek, bunların her bir pakette eşit sayıda olacak şekilde paketlenmesi için gereken en az paket sayısı hesabı.",aralarinda_asal,2,yok,baslangic,0.3,0,24,161,0,1
Bir yolun veya caddenin iki tarafına belirli aralıklarla (örneğin 10m ve 15m) dikilen ağaçların/direklerin aynı hizaya geldiği noktaların sayısının bulunması.,aralarinda_asal,2,sematik,baslangic,0.3,0,20,158,4,0
"Verilen iki sayının EKOK değerinin hesaplanarak, bu katın belirli bir aralıktaki (örneğin 100 ile 200 arası) katının bulunması sorusu.",aralarinda_asal,2,yok,baslangic,0.3,0,19,134,6,0
Dikdörtgenler prizması veya kare prizma şeklindeki kutuların birleştirilerek en küçük hacimli küpün oluşturulması için gereken kutu sayısı sorusu.,aralarinda_asal,2,geometrik_sekil,baslangic,0.3,0,18,146,0,0
a ve b aralarında asal sayılardır ve a/b = 36/60 olduğuna göre hangisinin yanlış olduğu sorulmaktadır,aralarinda_asal,1,yok,baslangic,0.3,0,16,101,4,0
x 9'dan küçük pozitif tam sayı olmak üzere x ile (x+3) aralarında asal ise x'in alabileceği değerler toplamı,aralarinda_asal,2,yok,baslangic,0.3,0,18,108,2,0
a ve b aralarında asal sayılar ve (a.b)/EBOB(a b) = 52 ise a+b'nin en büyük değeri,aralarinda_asal,2,yok,baslangic,0.3,0,16,82,2,0
(a-1) ve (b+3) aralarında asal ve oranları 30/48 ise a+b kaçtır,aralarinda_asal,1,yok,baslangic,0.3,0,11,63,6,0
(a-2) ile (b+5) aralarında asal ve oranları 18/42 ise a+b kaçtır,aralarinda_asal,1,yok,baslangic,0.3,0,11,64,6,0
Asal çarpanlarına ayrılmış a b c d sayılarından hangi ikisinin aralarında asal olduğu sorulmaktadır,aralarinda_asal,2,yok,baslangic,0.3,0,14,99,0,0
a çift ve a ile b aralarında asal ise b hakkında verilen ifadelerden hangisi doğrudur,aralarinda_asal,2,yok,baslangic,0.3,0,15,85,0,0
K L M N kutularına üzerinde sayılar yazan pullar atılıyor kutu ve pul numaraları aralarında asal olmalı,aralarinda_asal,3,sematik,baslangic,0.3,0,17,103,0,0
Üzerinde sayı yazan bilyeler aralarında asal olacak şekilde gruplandırılıyor mavi bilyenin numarası soruluyor,aralarinda_asal,3,resimli,ornek,0.8,1,13,109,0,0
Dikdörtgen kâğıtlar katlanarak kenarları aralarında asal dikdörtgenler elde ediliyor çevre uzunluğu soruluyor,aralarinda_asal,4,geometrik_sekil,ornek,0.8,1,12,109,0,0
Uzunlukları verilen tahtalar parçalanıyor parça uzunlukları aralarında asal olma durumu inceleniyor,aralarinda_asal,4,sematik,ornek,0.8,1,11,99,0,0
Alanları 72 ve 60 cm² olan dikdörtgenler birleştiriliyor kenarlar aralarında asal ise çevre en az kaçtır,aralarinda_asal,3,geometrik_sekil,ornek,0.8,1,16,104,4,1
İki kutudaki toplar yer değiştiriliyor çarpımları K ve L aralarında asal ise K+L en az kaçtır,aralarinda_asal,4,sematik,ornek,0.8,1,16,93,0,1
9 karelik tabloda komşu karelerle aralarında asal sayılar yerleştirilerek mor karelerdeki sayıların toplamı bulunuyor,aralarinda_asal,4,sematik,ornek,0.8,1,14,117,1,0
9 karelik tabloda komşu karelerle aralarında asal sayılarla kırmızı karenin değeri hesaplanıyor,aralarinda_asal,4,sematik,ornek,0.8,1,12,95,1,0
Dolap raflarındaki klasör numaraları aralarında asal ve iki asal çarpanlı fark en çok kaç olabilir,aralarinda_asal,3,resimli,ornek,0.8,1,15,98,0,0
Yayların uzama miktarları aralarında asal II. yayın son uzunluğu ne olabilir,aralarinda_asal,3,resimli,ornek,0.8,1,11,76,0,0
Video oynatıcıda izlenen ve kalan sürelerin dakika/saniye kısımları aralarında asal olacak anı bulma,aralarinda_asal,3,resimli,ornek,0.8,1,13,100,0,0
Şifreli kilitte rakamlar çevrilerek aralarında asal iki basamaklı sayılarla şifre oluşturuluyor,aralarinda_asal,3,resimli,ornek,0.8,1,11,95,0,0
Karelere 3 5 7 9 11 sayıları yazılıyor bağlı kareler aralarında asal boyalı kareye gelebilecek toplam,aralarinda_asal,3,sematik,ornek,0.8,1,16,101,6,0
6A ve B8 iki basamaklı sayıları için aralarında asallık şartlarını sağlayan A+B değerleri kaç tanedir,aralarinda_asal,2,yok,ornek,0.8,1,15,101,2,0
A ve B cisimleri teraziye konuyor toplam kütle 2.. gram ise A cisminin kütlesi kaçtır,ebob_ekok,4,resimli,cikmis,1.0,1,15,85,1,0
4g ve 28g bilyeler torbalara eşit kütlede dağıtılıyor toplam bilye sayısı en az kaçtır,ebob_ekok,4,sematik,cikmis,1.0,1,14,86,3,1
Efe ve Kuzey bilyelerini 3 ve 4 torbaya eşit dağıtıyor değişim sonrası en az bilye sayısı,ebob_ekok,4,sematik,cikmis,1.0,1,16,89,2,1
İki un çuvalına (46kg 12kg) un eklenince miktarlar aralarında asal oluyor eklenen miktarlar hangisidir,aralarinda_asal,3,resimli,cikmis,1.0,1,14,102,4,0
40 sayısının çarpanları gruplanıyor grupların toplamı eşit ise B grubundaki en küçük sayı kaçtır,carpanlar,3,tablo,cikmis,1.0,1,14,96,2,0
Zeynep ve Kuzey'in kalem çarpanları ağaç şemasıyla verilmiş kalan kalem sayısı soruluyor,carpanlar,3,sematik,cikmis,1.0,1,12,88,0,0
Dikdörtgen kâğıt bölgelere ayrılmış (35 44 21 cm² vb.) tüm alan ne olabilir,ebob_ekok,4,geometrik_sekil,cikmis,1.0,1,13,75,6,0
Dairelere sayılar yazılıyor köşelerdeki çarpım ortadaki sayıya eşit ve aralarında asal A+B en az kaçtır,aralarinda_asal,4,geometrik_sekil,cikmis,1.0,1,15,103,0,1
k 3k 5k 7k yüksekliğindeki kutularla kule yapılıyor en üstteki alınınca yükseklik hangisi olamaz,ebob_ekok,5,sematik,cikmis,1.0,1,14,96,3,0
30 TL ve 50 TL'lik kedi mamalarından eşit paket bağışlanıyor toplam harcama soruluyor,ebob_ekok,3,sematik,cikmis,1.0,1,13,85,4,0
40 kg'dan az çuvallar kantarda 720 kg geliyor ekleme yapılınca 1344 kg oluyor eklenen çuval sayısı,ebob_ekok,4,resimli,cikmis,1.0,1,16,98,9,0
3g ve 5g boncuklardan kolye yapılıyor toplam kütle 230g'dan az ise boncuk farkı en fazla kaçtır,ebob_ekok,3,yok,cikmis,1.0,1,16,95,5,1
Alanları verilen kartonlar (35 77 110) 3 cm üst üste yapıştırılıyor yeni alan en fazla kaç olur,ebob_ekok,5,geometrik_sekil,cikmis,1.0,1,17,95,8,1
Kat planında alanlar verilmiş verilmeyen alanların toplamı en az kaç metrekaredir,ebob_ekok,5,geometrik_sekil,cikmis,1.0,1,11,81,0,1
