ID,Soru_Metni(OCR),Alt_Konu,Zorluk,Görsel_Tipi,Kaynak_Tipi
P27-S97,Diktörtgen biçimindeki iş yerinin alanları verilmiş; tüm bölümlerin kenar uzunlukları doğal sayı. Arşiv ve Mutfak bölümlerinin alanları toplamının en az kaç olduğunu bulma.,EBOB ve EKOK,5,Şematik,LGS Örnek Soru
P28-S98,İki kumbarada (150 ve 90 adet 1 TL) kalan para miktarının her gün sonunda EBOB'u olup olmadığını sorgulama; Beren'in her gün birinden diğerinde kalan para kadar harcaması.,EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P28-S99,"60 kırmızı, 72 mavi, 42 yeşil kalemin en fazla 15 kalem alan kutulara, eşit sayıda ve tek renkte yerleştirilmesi; satılan en fazla kutu sayısını bulma.",EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P29-S100,"4 traktörün 1 dekar arazi için yakıt miktarı; A, B (50 dekar altı) ve C, D (120 dekar altı) ile eşit miktarda yakıt tüketimi; toplam yakıtın en fazla kaç TL olduğu.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P29-S101,Domates ve biberden salça yapma; salçaların karışmayacak ve artmayacak şekilde eşit büyüklükteki kavanozlara doldurulması; en az kaç kavanoz kullanılır?,EBOB ve EKOK,3,Yok,LGS Örnek Soru
P30-S102,"3 koşucunun (Ali, Eren, Mehmet) parkurda koşma süreleri; yarım saat ve bir saat içinde birbirleriyle karşılaşma durumlarını inceleme.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P30-S103,"ki radyoda (A: 12 dk müzik + 4 dk reklam, B: 16 dk müzik + 4 dk reklam) yayınlanan programlar; saat 10.00'da başlayan programdan sonra Banu'nun müziğe denk geldiği saati bulma.",EBOB ve EKOK,3,Yok,LGS Örnek Soru
P31-S104,"4 çeşit şeker (45, 54, 60, 72 adet) ikişerli gruplanarak poşetlenmesi; her poşette 3'ten fazla şeker olması; poşetteki şeker sayısı farkının en fazla kaç olduğunu bulma.",EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P31-S105,40 cm ve 30 cm tekerlek merkezlerinin yerden yüksekliği olan iki bisikletin aynı mesafeyi tekerleklerinin tam tur atarak tamamlaması; en az kaç santimetre mesafe denediği.,EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P32-S106,Sınıf numaralarının (1'den 5'e kadar kat numaraları ve 1-5'ten salona numaraları) tek bir asal çarpanı olması; bu salon numaralarının EKOK'unu bulma.,EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P32-S107,"Dikdörtgen şeklindeki kartonların kenar uzunlukları ve alanları verilmiş, bu kartonların birleştirilmesiyle oluşturulan yeni şeklin alanının en fazla kaç olacağı sorulmaktadır.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P33-S108,"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P33-S109,"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P33-S108,"Verilen iki farklı ürünün (veya nesnenin) kütleleri/sayıları üzerinden, artmadan eşit miktarlarda paylaştırılması veya paketlenmesi durumu; en az paket sayısı veya maliyet hesabı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P33-S109,"Belirli uzunluktaki bir rafa veya alana, iki farklı boyuttaki kutuların/cisimlerin boşluk kalmayacak şekilde dizilmesi; raf uzunluğunun veya cisim sayısının bulunması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P35-S112,"İki farklı uzunluktaki veya miktardaki nesnenin (çubuk, kumaş vb.) hiç artmayacak şekilde eşit ve en büyük parçalara ayrılması; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P35-S113,"Farklı zaman aralıklarında gerçekleşen iki olayın (zil çalması, nöbet tutma, araç seferi vb.) aynı anda gerçekleştiği anların veya bu karşılaşmaların sayısının bulunması problemi.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P36-S114,"Üç farklı markanın (A, B, C) ürünlerinin veya cihazlarının belirli periyotlarla çalışma/durma süreleri verilmiş; bu cihazların aynı anda çalışmaya/durmaya başladıkları anların veya sürelerin hesaplanması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P36-S115,"Bir toplantı salonuna veya sınıfa, genişlikleri farklı iki tür koltuğun/sıranın, aralarında boşluk kalmayacak ve duvarla bitişik olacak şekilde dizilmesi; salon genişliği veya koltuk sayısı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P37-S116,"Farklı uzunluklara sahip iki veya daha fazla rafın/çubuğun, hiç artmayacak şekilde eşit uzunlukta en büyük parçalara bölünmesi; oluşan parça sayısı veya kesim işlemi sayısı sorulmaktadır.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P37-S117,"Belirli bir kurala göre nöbet tutan veya sefere çıkan iki kişinin/aracın, başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı anda bu eylemi gerçekleştireceğinin bulunması problemi.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P38-S118,"Farklı kütlelere veya hacimlere sahip iki ürünün (çuval, bidon vb.), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki en az sayıda kaba paylaştırılması problemi.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P38-S119,"Kenar uzunlukları verilen dikdörtgen şeklindeki kartonların veya fayansların, aralarında boşluk kalmayacak şekilde birleştirilerek en küçük alanlı karenin (veya zeminin) oluşturulması; parça sayısının bulunması.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P39-S120,Farklı uzunluklara veya sürelere sahip iki çubuğun/olayın (örn. reklam panosu aydınlatma süreleri veya iki farklı ürünün uzunlukları) eşlenmesi; en kısa sürede veya en küçük ortak uzunlukta buluşma anının/noktasının hesaplanması.,EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P39-S121,"Kenar uzunlukları verilen dikdörtgen şeklindeki bir bahçenin veya zeminin etrafına/içine, köşelere de gelmek şartıyla eşit aralıklarla direk/ağaç dikilmesi veya fayans döşenmesi; en az malzeme sayısının bulunması problemi.",EBOB ve EKOK,3,Geometrik Şekil,LGS Örnek Soru
P40-S122,"Belirli aralıklarla tekrarlanan iki farklı durumun (sefer saatleri, nöbetleşme veya zil çalması gibi) gün içerisinde kaç kez aynı anda gerçekleştiğinin veya bir sonraki ortak zamanın hesaplanması problemi.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P40-S123,"Farklı boyutlara sahip dikdörtgen şeklindeki parçaların veya alanların, aralarında boşluk kalmayacak şekilde birleştirilerek daha büyük bir kare veya dikdörtgen zemin oluşturulması; en az parça sayısının bulunması.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P41-S124,"Belirli aralıklarla tekrarlanan iki farklı işin veya durumun (ilaç alma, sefer saati vb.) başlangıçtan sonra kaçıncı kez veya ne zaman tekrar aynı ana denk geleceğinin hesaplanması problemi.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P41-S125,"Kenar uzunlukları verilen bir alanın veya levhanın, hiç artmayacak şekilde eş kare parçalara ayrılması veya köşelerine de gelmek şartıyla eşit aralıklarla noktalanması/bölünmesi; parça/nokta sayısı sorulmaktadır.",EBOB ve EKOK,4,Geometrik Şekil,LGS Örnek Soru
P42-S126,"Farklı uzunluktaki iki tahta veya metal çubuğun, hiç parça artmayacak şekilde eşit uzunlukta en büyük parçalara ayrılması; oluşan parça sayısı veya her kesim işlemi için ödenen ücret üzerinden toplam maliyet hesabı sorulmaktadır.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P42-S127,Belirli bir kurala göre (örneğin 3'ün ve 4'ün pozitif tam sayı katları olan) numaralandırılmış kutuların veya koltukların seçilmesi/boyanması; hem 3'ün hem 4'ün katı olan (ortak kat) numaraların tespit edilmesi problemi.,EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P43-S128,"Verilen bir kurala göre (örneğin iki farklı ürünün raf/kutu dizilimi veya sayısal eşleşmesi) yapılan yerleştirme işleminde, belirli şartları (boşluk kalmama, eşit yükseklik vb.) sağlayan en küçük ortak katın veya değerin bulunması problemi.",EBOB ve EKOK,4,Şematik,LGS Örnek Soru
P44-S129,"Verilen iki farklı sayısal değerin (genellikle çuval ağırlıkları veya tank hacimleri), birbirine karıştırılmadan ve hiç artmayacak şekilde eşit büyüklükteki kaplara paylaştırılması; en az kap/paket sayısı sorulmaktadır.",EBOB ve EKOK,3,Resimli,LGS Örnek Soru
P44-S130,"Belirli bir kurala göre periyodik olarak tekrar eden iki farklı eylemin (örneğin iki farklı zilin çalması veya iki aracın sefer yapması), başlangıçtan sonraki ortak gerçekleşme zamanının (EKOK) hesaplanması problemi.",EBOB ve EKOK,3,Şematik,LGS Örnek Soru
P45-S131,"Verilen bir alana veya rafa, boyutları farklı iki veya daha fazla nesnenin (kutu, kitap, fayans vb.) belirli bir kurala göre (örneğin aralarında boşluk kalmadan veya belirli periyotlarla) yerleştirilmesi; alanın uzunluğunun veya kullanılan nesne sayısının hesaplanması problemi.",EBOB ve EKOK,4,Resimli,LGS Örnek Soru
P46-S132,Verilen iki doğal sayının en büyük ortak böleninin (EBOB) veya en küçük ortak katının (EKOK) bulunması ve bu değerlerle yapılan temel dört işlem sorusu.,Aralarında Asal Sayılar,1,Yok,Başlangıç Sorusu
P46-S133,"İki farklı sayısal değerin (kütle, uzunluk vb.) ebob'u kullanılarak, artmadan eş parçalara ayrılması durumunda oluşacak parça sayısının bulunması (Temel problem).",Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P46-S134,Belirli aralıklarla (dakika/saat) gerçekleşen iki basit olayın (zil çalması vb.) ilk kez veya ikinci kez ne zaman aynı anda gerçekleşeceğinin hesaplanması.,Aralarında Asal Sayılar,2,Şematik,Başlangıç Sorusu
P46-S135,"Kenar uzunlukları verilen dikdörtgen şeklindeki bir zeminin içine, hiç boşluk kalmayacak şekilde yerleştirilebilecek en büyük boyutlu eş karelerin sayısının bulunması.",Aralarında Asal Sayılar,2,Geometrik Şekil,Başlangıç Sorusu
P46-S136,Aralarında asallık veya çarpan özellikleri verilen iki sayının EBOB ve EKOK değerleri arasındaki ilişkinin sorgulandığı kural/kavram sorusu.,Aralarında Asal Sayılar,1,Yok,Başlangıç Sorusu
P46-S137,Verilen sayıların asal çarpanlarına ayrılmış hali üzerinden EBOB veya EKOK değerlerinin üslü ifadeler yardımıyla hesaplanması sorusu.,Aralarında Asal Sayılar,1,Şematik,Başlangıç Sorusu
P46-S138,"İki farklı ürünün (ceviz, bilye vb.) sayıları verilerek, bunların her bir pakette eşit sayıda olacak şekilde paketlenmesi için gereken en az paket sayısı hesabı.",Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P46-S139,Bir yolun veya caddenin iki tarafına belirli aralıklarla (örneğin 10m ve 15m) dikilen ağaçların/direklerin aynı hizaya geldiği noktaların sayısının bulunması.,Aralarında Asal Sayılar,2,Şematik,Başlangıç Sorusu
P46-S140,"Verilen iki sayının EKOK değerinin hesaplanarak, bu katın belirli bir aralıktaki (örneğin 100 ile 200 arası) katının bulunması sorusu.",Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P46-S141,Dikdörtgenler prizması veya kare prizma şeklindeki kutuların birleştirilerek en küçük hacimli küpün oluşturulması için gereken kutu sayısı sorusu.,Aralarında Asal Sayılar,2,Geometrik Şekil,Başlangıç Sorusu
P47-S142,a ve b aralarında asal sayılardır ve a/b = 36/60 olduğuna göre hangisinin yanlış olduğu sorulmaktadır,Aralarında Asal Sayılar,1,Yok,Başlangıç Sorusu
P47-S143,x 9'dan küçük pozitif tam sayı olmak üzere x ile (x+3) aralarında asal ise x'in alabileceği değerler toplamı,Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P47-S144,a ve b aralarında asal sayılar ve (a.b)/EBOB(a b) = 52 ise a+b'nin en büyük değeri,Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P47-S145,(a-1) ve (b+3) aralarında asal ve oranları 30/48 ise a+b kaçtır,Aralarında Asal Sayılar,1,Yok,Başlangıç Sorusu
P47-S146,(a-2) ile (b+5) aralarında asal ve oranları 18/42 ise a+b kaçtır,Aralarında Asal Sayılar,1,Yok,Başlangıç Sorusu
P47-S147,Asal çarpanlarına ayrılmış a b c d sayılarından hangi ikisinin aralarında asal olduğu sorulmaktadır,Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P47-S148,a çift ve a ile b aralarında asal ise b hakkında verilen ifadelerden hangisi doğrudur,Aralarında Asal Sayılar,2,Yok,Başlangıç Sorusu
P47-S149,K L M N kutularına üzerinde sayılar yazan pullar atılıyor kutu ve pul numaraları aralarında asal olmalı,Aralarında Asal Sayılar,3,Şematik,Başlangıç Sorusu
P48-S150,Üzerinde sayı yazan bilyeler aralarında asal olacak şekilde gruplandırılıyor mavi bilyenin numarası soruluyor,Aralarında Asal Sayılar,3,Resimli,LGS Örnek Soru
P48-S151,Dikdörtgen kâğıtlar katlanarak kenarları aralarında asal dikdörtgenler elde ediliyor çevre uzunluğu soruluyor,Aralarında Asal Sayılar,4,Geometrik Şekil,LGS Örnek Soru
P49-S152,Uzunlukları verilen tahtalar parçalanıyor parça uzunlukları aralarında asal olma durumu inceleniyor,Aralarında Asal Sayılar,4,Şematik,LGS Örnek Soru
P49-S153,Alanları 72 ve 60 cm² olan dikdörtgenler birleştiriliyor kenarlar aralarında asal ise çevre en az kaçtır,Aralarında Asal Sayılar,3,Geometrik Şekil,LGS Örnek Soru
P50-S154,İki kutudaki toplar yer değiştiriliyor çarpımları K ve L aralarında asal ise K+L en az kaçtır,Aralarında Asal Sayılar,4,Şematik,LGS Örnek Soru
P50-S155,9 karelik tabloda komşu karelerle aralarında asal sayılar yerleştirilerek mor karelerdeki sayıların toplamı bulunuyor,Aralarında Asal Sayılar,4,Şematik,LGS Örnek Soru
P51-S156,9 karelik tabloda komşu karelerle aralarında asal sayılarla kırmızı karenin değeri hesaplanıyor,Aralarında Asal Sayılar,4,Şematik,LGS Örnek Soru
P51-S157,Dolap raflarındaki klasör numaraları aralarında asal ve iki asal çarpanlı fark en çok kaç olabilir,Aralarında Asal Sayılar,3,Resimli,LGS Örnek Soru
P52-S158,Yayların uzama miktarları aralarında asal II. yayın son uzunluğu ne olabilir,Aralarında Asal Sayılar,3,Resimli,LGS Örnek Soru
P52-S159,Video oynatıcıda izlenen ve kalan sürelerin dakika/saniye kısımları aralarında asal olacak anı bulma,Aralarında Asal Sayılar,3,Resimli,LGS Örnek Soru
P53-S160,Şifreli kilitte rakamlar çevrilerek aralarında asal iki basamaklı sayılarla şifre oluşturuluyor,Aralarında Asal Sayılar,3,Resimli,LGS Örnek Soru
P53-S161,Karelere 3 5 7 9 11 sayıları yazılıyor bağlı kareler aralarında asal boyalı kareye gelebilecek toplam,Aralarında Asal Sayılar,3,Şematik,LGS Örnek Soru
P53-S162,6A ve B8 iki basamaklı sayıları için aralarında asallık şartlarını sağlayan A+B değerleri kaç tanedir,Aralarında Asal Sayılar,2,Yok,LGS Örnek Soru
P54-S163,A ve B cisimleri teraziye konuyor toplam kütle 2.. gram ise A cisminin kütlesi kaçtır,EBOB ve EKOK,4,Resimli,Çıkmış Soru (2025)
P54-S164,4g ve 28g bilyeler torbalara eşit kütlede dağıtılıyor toplam bilye sayısı en az kaçtır,EBOB ve EKOK,4,Şematik,Çıkmış Soru (2024)
P55-S165,Efe ve Kuzey bilyelerini 3 ve 4 torbaya eşit dağıtıyor değişim sonrası en az bilye sayısı,EBOB ve EKOK,4,Şematik,Çıkmış Soru (2023)
P55-S166,İki un çuvalına (46kg 12kg) un eklenince miktarlar aralarında asal oluyor eklenen miktarlar hangisidir,Aralarında Asal Sayılar,3,Resimli,Çıkmış Soru (2023)
P56-S167,40 sayısının çarpanları gruplanıyor grupların toplamı eşit ise B grubundaki en küçük sayı kaçtır,Bir Doğal Sayının Çarpanları,3,Tablo,Çıkmış Soru (2023)
P56-S168,Zeynep ve Kuzey'in kalem çarpanları ağaç şemasıyla verilmiş kalan kalem sayısı soruluyor,Bir Doğal Sayının Çarpanları,3,Şematik,Çıkmış Soru (2022)
P57-S169,Dikdörtgen kâğıt bölgelere ayrılmış (35 44 21 cm² vb.) tüm alan ne olabilir,EBOB ve EKOK,4,Geometrik Şekil,Çıkmış Soru (2021)
P57-S170,Dairelere sayılar yazılıyor köşelerdeki çarpım ortadaki sayıya eşit ve aralarında asal A+B en az kaçtır,Aralarında Asal Sayılar,4,Geometrik Şekil,Çıkmış Soru (2021)
P58-S171,k 3k 5k 7k yüksekliğindeki kutularla kule yapılıyor en üstteki alınınca yükseklik hangisi olamaz,EBOB ve EKOK,5,Şematik,Çıkmış Soru (2020)
P58-S172,30 TL ve 50 TL'lik kedi mamalarından eşit paket bağışlanıyor toplam harcama soruluyor,EBOB ve EKOK,3,Şematik,Çıkmış Soru (2019)
P59-S173,40 kg'dan az çuvallar kantarda 720 kg geliyor ekleme yapılınca 1344 kg oluyor eklenen çuval sayısı,EBOB ve EKOK,4,Resimli,Çıkmış Soru (2020)
P59-S174,3g ve 5g boncuklardan kolye yapılıyor toplam kütle 230g'dan az ise boncuk farkı en fazla kaçtır,EBOB ve EKOK,3,Yok,Çıkmış Soru (2020)
P60-S175,Alanları verilen kartonlar (35 77 110) 3 cm üst üste yapıştırılıyor yeni alan en fazla kaç olur,EBOB ve EKOK,5,Geometrik Şekil,Çıkmış Soru (2019)
P60-S176,Kat planında alanlar verilmiş verilmeyen alanların toplamı en az kaç metrekaredir,EBOB ve EKOK,5,Geometrik Şekil,Çıkmış Soru (2018)